pitch_rad,pitch_rate_rad,yaw_rad,yaw_rate_rad,pwm
-0.003458,-0.023784,-0.064152,-0.000658,4.0
-0.004218,-0.026449,-0.064109,0.00547,6.0
-0.004841,-0.01659,-0.064067,0.002006,7.0
-0.005036,0.001529,-0.06405,0.001474,8.0
-0.004807,0.019915,-0.064065,0.001207,7.0
-0.004167,0.026843,-0.064048,0.001207,6.0
-0.003369,0.027643,-0.064042,0.000408,4.0
-0.002797,0.017251,-0.064023,0.002273,3.0
-0.002492,-6.9e-05,-0.064019,-0.002523,2.0
-0.002761,-0.024584,-0.064011,0.001207,3.0
-0.003886,-0.038706,-0.063993,-0.000392,6.0
-0.005034,-0.036841,-0.063962,0.001207,9.0
-0.00592,-0.026716,-0.063921,0.003872,11.0
-0.006504,-0.010195,-0.063861,0.003872,12.0
-0.006518,-0.007797,-0.063727,0.01453,12.0
-0.00649,0.003128,-0.063652,0.007069,12.0
-0.006359,0.003661,-0.063622,0.003605,12.0
-0.003915,0.123303,-0.061725,0.101131,6.0
-0.004133,-0.038173,-0.06164,-0.034499,8.0
-0.004264,0.00073,-0.061755,0.006003,8.0
-0.004498,-0.010728,-0.061742,0.004138,9.0
-0.004891,-0.010461,-0.061719,0.002539,10.0
-0.005231,-0.002734,-0.061703,0.001207,11.0
-0.005117,0.008191,-0.061694,0.001474,10.0
-0.004777,0.019116,-0.061711,-0.000925,10.0
-0.004296,0.01885,-0.061709,-0.002257,9.0
-0.003952,0.006859,-0.061688,-0.000392,8.0
-0.003972,-0.011261,-0.061691,-0.001191,8.0
-0.00439,-0.023518,-0.061675,0.000941,10.0
-0.005259,-0.026183,-0.061649,0.001207,12.0
-0.005949,-0.02112,-0.061655,0.000408,13.0
-0.006238,-0.007797,-0.061665,0.000141,14.0
-0.006252,0.004994,-0.061629,-0.000658,14.0
-0.005968,0.01805,-0.061636,-0.000925,14.0
-0.005387,0.02258,-0.061622,-0.001724,13.0
-0.004931,0.016451,-0.061639,-0.000925,12.0
-0.004708,0.003928,-0.061635,-0.002257,11.0
-0.004818,-0.006198,-0.061617,0.000941,12.0
-0.005059,-0.016323,-0.06159,0.002006,13.0
-0.005443,-0.013392,-0.06157,0.000941,14.0
-0.005774,-0.007264,-0.06156,-0.00199,14.0
-0.005814,0.00979,-0.061548,0.000408,15.0
-0.005439,0.017251,-0.061539,0.001207,14.0
-0.004973,0.021248,-0.06154,-0.000658,13.0
-0.004583,0.007392,-0.061543,0.00174,12.0
-0.00483,-0.024317,-0.06151,0.002006,13.0
-0.006618,-0.078676,-0.06146,0.003339,18.0
-0.008127,-0.045101,-0.06152,-0.005987,21.0
-0.008041,0.027376,-0.061829,-0.014248,21.0
-0.006786,0.063615,-0.062082,-0.002523,18.0
-0.004621,0.079869,-0.062081,-0.001191,13.0
-0.00303,0.04443,-0.062102,0.002539,10.0
-0.002692,-0.007797,-0.062044,0.004138,9.0
-0.003666,-0.063487,-0.061975,0.002539,12.0
-0.005834,-0.088002,-0.061906,0.002806,17.0
-0.008109,-0.08587,-0.061863,0.002539,22.0
-0.009599,-0.02112,-0.062072,-0.013448,26.0
-0.009352,0.031906,-0.06265,-0.036897,25.0
-0.0077,0.0836,-0.063928,-0.049421,22.0
-0.004975,0.125168,-0.065446,-0.06754,15.0
-0.001291,0.155278,-0.067654,-0.104312,7.0
-0.000615,-0.009662,-0.068159,0.028653,6.0
-0.000838,-0.033111,-0.068138,0.012665,7.0
-0.002222,-0.056559,-0.068114,0.004938,10.0
-0.003394,-0.032578,-0.068109,0.002806,13.0
-0.003413,0.025511,-0.068088,0.003072,13.0
-0.002038,0.076139,-0.068064,0.001474,9.0
0.000313,0.098255,-0.068065,-0.001191,4.0
